station,round_order,rain_proxy_flag,P1_mm,P3_mm,P7_mm,P14_mm,Rmax7_mm,P30_mm,log10_TSS,log10_Turbidity,log10_Fe
M12,1,0,0,0,0,0.2,0,6,0.3979400086720376,1.0334237554869496,-0.5686362358410126
M21,1,0,0,0,0,0.2,0,6,0.3979400086720376,0.9938769149412112,-0.36653154442041347
M15,1,0,0,5.5,5.5,7.1,5.5,7.6,0.9030899869919435,0.6830470382388496,-0.6575773191777937
M16,1,1,0,7.95,21.75,28.3,6.9,32.8,0.8450980400142568,1.1553360374650619,-0.4559319556497244
M44,1,0,0,10.4,38,49.5,13.8,58,0.8450980400142568,0.6117233080073418,-0.2839966563652008
M14,1,0,0,10.4,38,49.5,13.8,58,0.3979400086720376,0.8825245379548805,-0.37675070960209955
M45,1,0,0,24.200000000000003,38,49.5,13.8,60.9,0.7781512503836436,1.4329692908744058,0.20951501454263097
M17,1,0,0,10.4,38,49.5,13.8,58,1.146128035678238,1.4345689040341987,-0.37675070960209955
M22,1,1,0,0,19.950000000000003,24.25,7.8500000000000005,30.55,0.7781512503836436,1.1553360374650619,-0.619788758288394
M37,1,0,0,0,1.7,3.5999999999999996,1.7,3.5999999999999996,1.5314789170422551,2.1398790864012365,-0.1804560644581313
M12,2,0,3.5,10.3,42.9,78.4,22.7,137.1,0.9030899869919435,1.1072099696478683,-0.6020599913279624
M21,2,0,3.5,10.3,42.9,78.4,22.7,137.1,1.3010299956639813,1.4593924877592308,-0.4814860601221125
M15,2,0,4.1,7.199999999999999,14,20.4,4.1,55.1,1.845098040014257,2.1172712956557644,-0.12493873660829993
M16,2,1,14.100000000000001,15.650000000000002,24.35,37.35,14.100000000000001,128.7,1.8750612633917,2.03342375548695,-0.03621217265444471
M44,2,0,0,7.7,14.8,30.2,7.7,178.2,1.662757831681574,2.1172712956557644,-0.21467016498923297
M14,2,0,0,7.7,14.8,30.2,7.7,178.2,1.8692317197309762,2.1492191126553797,-0.13076828026902382
M45,2,0,0,7.7,14.8,30.2,7.7,178.2,1.6720978579357175,1.8819549713396004,-0.3187587626244128
M17,2,0,0,7.7,14.8,30.2,7.7,178.2,2.230448921378274,2.4756711883244296,-0.2839966563652008
M22,2,1,12.600000000000001,15.250000000000002,28.400000000000002,38.75,12.600000000000001,116.95,1.8808135922807914,1.9982593384236986,-0.3467874862246563
M37,2,0,0,15.7,16.8,18.1,14.5,27.6,2.0644579892269186,2.2013971243204513,0.06069784035361165
M12,3,0,11.3,11.3,14.700000000000001,35.2,11.3,141.2,1.041392685158225,1.1931245983544616,-0.7695510786217261
M21,3,0,11.3,11.3,14.700000000000001,35.2,11.3,141.2,1.1760912590556813,1.250420002308894,-0.638272163982407
M15,3,0,0,25.9,25.9,65.4,25.9,156.7,1.9242792860618816,2.012837224705172,-0.2839966563652008
M16,3,1,19.2,42.8,48.8,122.55,19.2,206.75,1.8750612633917,1.9790929006383264,-0.1870866433571444
M44,3,0,21.3,23.900000000000002,36.2,141.3,21.3,242.5,1.3424226808222062,1.462397997898956,-0.37675070960209955
M14,3,0,21.3,23.900000000000002,36.2,141.3,21.3,242.5,1.380211241711606,1.4742162640762553,-0.2596373105057561
M45,3,0,21.3,23.900000000000002,36.2,141.3,21.3,242.5,1.380211241711606,1.505149978319906,0.3979400086720376
M17,3,0,38.4,59.7,71.7,179.7,38.4,256.8,2.635483746814912,2.8208579894397,0.15836249209524964
M22,3,1,19.2,49.05,60.8,131.29999999999998,19.2,186.5,1.8976270912904414,1.9822712330395684,-0.22914798835785583
M37,3,0,4.6,9.2,37.9,49.7,25.3,98.8,1.8129133566428555,1.9041743682841634,-0.08618614761628333
M12,4,0,0,0,41.5,45.300000000000004,37.1,156.3,0.3979400086720376,0.7634279935629373,-0.7958800173440752
M21,4,0,0,0,41.5,45.300000000000004,37.1,156.3,0.9030899869919435,1.1072099696478683,-0.3565473235138126
M15,4,0,35.7,35.7,76.5,266.2,35.7,455.8,1,1.2148438480476977,-0.5686362358410126
M16,4,1,17.85,22.700000000000003,44.300000000000004,217.70000000000002,17.85,404,1.6720978579357175,1.8920946026904804,0.004321373782642578
M44,4,0,7.3,9.7,19.4,169.20000000000002,7.3,352.2,0.7781512503836436,1.0718820073061255,-0.38721614328026455
M14,4,0,7.3,9.7,19.4,169.20000000000002,7.3,352.2,0.6989700043360189,1.089905111439398,-0.431798275933005
M45,4,0,7.3,9.7,19.4,169.20000000000002,7.3,352.2,1.2041199826559248,1.3364597338485296,0.38021124171160603
M17,4,0,7.3,9.7,19.4,169.20000000000002,7.3,352.2,2.456366033129043,2.733999286538387,0.3979400086720376
M22,4,1,0,16.25,26.8,170.9,12.6,363.6,1.2787536009528289,1.424881636631067,-0.38721614328026455
M37,4,0,8.6,18.299999999999997,45.3,86.8,14.4,316.6,1.7242758696007892,1.890979596989689,-0.16749108729376366
